858462320779026433,79,119,242,102,12,17,37,15
858421020331560960,12,88,217,156,3,13,33,19
858368123753435136,89,89,149,152,15,15,27,22
858323428260139008,36,79,81,45,7,16,16,6
858283602626347008,92,92,177,43,16,16,31,1
858224473597779969,38,55,117,0,6,8,16,0
858222698367000577,62,63,130,54,10,10,20,3
858191667739987968,87,76,76,57,13,14,14,7
858153572571197440,68,41,77,98,13,9,13,5
858150052782645249,60,61,218,0,9,9,34,0
858137811039465472,47,55,119,0,10,11,19,0
858070460814184448,75,58,183,34,16,12,33,5
858048368974733312,106,99,95,62,19,15,14,9
858033553468252160,89,71,73,70,15,12,10,9
858025529429065729,116,205,30,157,18,35,5,12
857977494275846144,57,57,110,76,11,11,22,11
857970008269496320,95,74,120,38,12,10,20,3
857924202548088832,95,95,113,147,13,13,17,18
857902233232527360,92,46,74,0,13,8,14,0
857883874663120898,82,83,244,0,11,11,41,0
857818691471380481,111,69,165,172,19,11,29,19
857681004047347713,90,99,134,0,17,18,23,0
857659646663962625,97,64,48,76,17,11,9,6
857647139127558144,63,63,0,0,12,12,0,0
857588031318110208,81,58,231,86,13,10,41,13
857587134491893761,48,48,0,0,7,7,0,0
857543708828467200,94,79,179,78,15,12,32,14
857542383784919040,40,59,58,0,6,8,9,0
857497306077302785,115,59,149,30,18,9,27,3
857478939240955904,57,51,131,142,11,10,18,22
857417141758435328,69,67,134,66,10,10,20,8
857416784953188352,77,53,154,154,12,8,22,19
857403369601761281,74,81,131,0,9,10,20,0
857402097976963075,87,87,47,0,16,16,8,0
857366516186173440,78,78,130,90,12,12,23,6
857320960063655936,65,65,100,0,11,11,17,0
857308307165466625,84,69,155,0,15,13,25,0
857297814954659845,26,78,253,0,4,12,39,0
857258494491332609,18,63,75,0,2,9,12,0
857258494168367104,75,78,159,98,14,13,25,14
857251677904228352,88,96,0,111,16,17,0,3
857247620938559491,79,72,61,51,11,10,10,4
857139702989824003,116,99,85,56,21,18,12,8
857068231936364544,16,73,210,72,2,14,38,10
857046844819558400,87,72,201,0,14,12,30,0
856986260447125505,22,79,79,92,3,15,15,8
856946762598277120,73,74,162,0,12,12,25,0
856942406339637249,73,53,272,0,12,10,47,0
856934629001056256,52,88,58,88,9,13,9,10
856928814936588289,79,77,97,0,15,15,16,0
856877249412378624,93,57,207,295,14,7,34,24
856780134199775232,76,77,136,0,10,10,23,0
856752936017416192,89,79,55,47,12,10,10,3
856693259988611072,112,62,167,124,21,11,26,13
856692779883388928,71,71,109,112,8,8,15,9
856681188328603650,76,74,61,159,12,11,12,21
856664601269850112,67,63,168,13,10,9,28,1
856621318791462912,53,53,165,0,8,8,26,0
856562464070094848,74,83,75,13,12,13,11,2
856492941795237888,66,51,89,31,11,9,15,5
856474402157887488,39,38,84,0,6,6,13,0
856458143248908288,75,75,153,52,12,12,26,2
856425253240786944,89,92,75,129,14,14,12,17
856369615852756994,63,63,134,67,9,9,20,10
856354300582297600,103,73,144,73,18,10,24,6
856311741474590720,63,58,203,284,9,8,28,16
856286072996864001,81,60,59,290,13,10,10,38
856232580991025153,12,83,83,64,2,14,14,8
856203524631384066,77,66,147,71,14,12,24,10
856199512880230405,82,82,70,0,14,14,11,0
856198484495482880,41,69,70,50,6,14,14,9
856161994419851265,66,75,302,1,12,14,58,1
856113335783313408,90,60,90,116,16,11,15,9
856112780960833536,89,62,162,251,12,9,22,13
856029381562683392,63,45,122,149,11,9,19,22
856026219007156225,98,51,310,337,19,7,51,19
856017796370747392,42,42,0,0,8,8,0,0
855965425993175040,40,41,157,58,6,6,28,6
855955661787627521,57,54,79,0,8,8,12,0
855921918540746756,74,74,80,124,11,11,14,9
855917932014186496,70,75,33,37,13,14,5,5
855913360151502850,105,85,533,0,15,13,83,0
855851740389937152,66,66,95,0,11,11,18,0
